total-carbon-emissions,average-satisfaction,cycling,car,public transport
541,52,26,29,45
556,45,26,32,42
591,52,21,35,44
537,47,27,29,44
587,55.00000000000001,27,39,34
591,56.99999999999999,21,35,44
525,53,30,29,41
507,56.00000000000001,32,27,41
551,48,31,35,34
586,55.00000000000001,26,38,36
580,43,25,36,39
597,51,22,37,41
529,44,29,29,42
582,56.99999999999999,22,34,44
561,48,26,33,41
564,42,24,32,44
548,44,28,32,40
529,43,29,29,42
511,42,36,31,33
497,54,37,29,34
610,45,20,38,42
622,45,22,42,36
550,48,25,30,45
488,37,33,24,43
604,46,24,40,36
554,51,29,34,37
551,54,31,35,34
611,48,21,39,40
505,44,30,25,45
517,51,32,29,39
566,53,26,34,40
587,52,22,35,43
511,49,31,27,42
532,48,27,28,45
535,51,30,31,39
555,47,30,35,35
573,51,28,37,35
573,47,23,33,44
582,49,27,38,35
507,55.00000000000001,37,31,32
534,46,29,30,41
579,46,24,35,41
542,55.00000000000001,32,34,34
513,48,33,29,38
575,51,25,35,40
538,46,28,30,42
578,51,23,34,43
542,50,27,30,43
565,34,25,33,42
509,45,29,25,46
560,50,25,32,43
514,46,34,30,36
539,45,29,31,40
534,43,29,30,41
563,54,28,35,37
577,44,22,33,45
512,56.00000000000001,27,24,49
573,59,23,33,44
562,55.00000000000001,27,34,39
508,46,33,28,39
513,50,33,29,38
545,49,30,33,37
542,52,27,30,43
635,55.00000000000001,20,43,37
515,54,30,27,43
594,45,24,38,38
551,47,26,31,43
586,48,26,38,36
547,45,27,31,42
592,45,27,40,33
525,54,30,29,41
546,47,26,30,44
560,57.99999999999999,25,32,43
523,44,28,27,45
530,56.00000000000001,30,30,40
526,47,31,30,39
524,52,29,28,43
572,53,27,36,37
556,49,26,32,42
565,52,30,37,33
557,48,27,33,40
558,47,23,30,47
594,49,24,38,38
621,49,21,41,38
578,56.00000000000001,23,34,43
594,52,19,34,47
532,46,27,28,45
546,52,26,30,44
582,49,27,38,35
615,45,20,39,41
559,55.00000000000001,24,31,45
563,55.00000000000001,23,31,46
544,48,24,28,48
548,53,33,36,31
574,50,24,34,42
529,50,29,29,42
533,54,33,33,34
539,50,34,35,31
557,42,27,33,40
528,55.00000000000001,28,28,44
604,49,19,36,45
567,54,27,35,38
518,47,33,30,37
607,52,22,39,39
565,49,25,33,42
540,51,30,32,38
564,51,24,32,44
530,50,25,26,49
606,47,21,38,41
581,53,21,33,46
571,56.99999999999999,26,35,39
530,46,30,30,40
549,47,29,33,38
543,42,28,31,41
581,45,21,33,46
570,44,25,34,41
522,57.99999999999999,27,26,47
573,44,28,37,35
553,46,28,33,39
569,51,24,33,43
574,48,29,38,33
522,46,32,30,38
572,54,27,36,37
531,50,26,27,47
529,52,29,29,42
577,55.00000000000001,27,37,36
546,50,21,26,53
545,47,30,33,37
587,47,22,35,43
559,52,29,35,36
511,45,26,23,51
540,43,25,28,47
579,51,19,31,50
554,51,29,34,37
616,45,21,40,39
561,47,26,33,41
577,46,22,33,45
617,38,22,41,37
575,48,25,35,40
522,52,27,26,47
506,45,31,26,43
571,51,26,35,39
568,61,28,36,36
569,55.00000000000001,24,33,43
620,47,25,44,31
558,51,28,34,38
562,49,27,34,39
579,43,24,35,41
571,47,26,35,39
557,52,27,33,40
549,50,29,33,38
613,53,18,37,45
628,56.00000000000001,18,40,42
529,60,29,29,42
599,45,24,39,37
568,53,23,32,45
553,46,28,33,39
561,57.99999999999999,26,33,41
566,44,21,30,49
565,54,25,33,42
576,49,26,36,38
549,46,24,29,47
561,56.00000000000001,26,33,41
564,47,19,28,53
590,54,20,34,46
581,54,21,33,46
571,43,21,31,48
544,45,24,28,48
541,55.00000000000001,31,33,36
598,51,23,38,39
570,54,25,34,41
596,46,26,40,34
583,51,23,35,42
586,57.99999999999999,26,38,36
612,56.00000000000001,22,40,38
509,46,29,25,46
557,44,27,33,40
594,44,24,38,38
579,49,29,39,32
536,46,26,28,46
537,47,32,33,35
560,46,25,32,43
556,56.99999999999999,21,28,51
583,49,23,35,42
584,51,24,36,40
539,49,29,31,40
580,49,25,36,39
579,53,24,35,41
598,48,23,38,39
511,48,31,27,42
556,56.99999999999999,26,32,42
556,44,26,32,42
541,47,26,29,45
587,54,22,35,43
590,51,25,38,37
539,40,24,27,49
543,51,28,31,41
545,56.00000000000001,30,33,37
586,50,21,34,45
563,44,23,31,46
532,48,32,32,36
495,50,30,23,47
597,56.99999999999999,17,33,50
551,54,26,31,43
525,44,30,29,41
563,49,28,35,37
575,50,25,35,40
587,52,22,35,43
539,51,29,31,40
