Bus , Train , Car
48 , 14 , 38
44 , 17 , 39
43 , 13 , 44
45 , 16 , 39
47 , 14 , 39
44 , 17 , 39
44 , 19 , 37
41 , 22 , 37
40 , 19 , 41
42 , 16 , 42
44 , 22 , 34
45 , 19 , 36
49 , 14 , 37
44 , 13 , 43
42 , 18 , 40
45 , 20 , 35
47 , 13 , 40
48 , 16 , 36
46 , 14 , 40
46 , 16 , 38
50 , 16 , 34
49 , 9 , 42
42 , 21 , 37
39 , 20 , 41
44 , 15 , 41
41 , 18 , 41
48 , 14 , 38
43 , 19 , 38
43 , 18 , 39
41 , 14 , 45
50 , 13 , 37
43 , 18 , 39
47 , 15 , 38
47 , 19 , 34
42 , 19 , 39
41 , 22 , 37
46 , 16 , 38
49 , 13 , 38
38 , 21 , 41
49 , 14 , 37
44 , 18 , 38
46 , 16 , 38
39 , 21 , 40
48 , 16 , 36
41 , 17 , 42
38 , 25 , 37
46 , 19 , 35
43 , 16 , 41
42 , 19 , 39
45 , 15 , 40
41 , 17 , 42
44 , 19 , 37
44 , 19 , 37
45 , 16 , 39
46 , 17 , 37
44 , 17 , 39
48 , 13 , 39
45 , 16 , 39
49 , 12 , 39
38 , 23 , 39
46 , 18 , 36
46 , 14 , 40
45 , 18 , 37
46 , 14 , 40
43 , 18 , 39
47 , 18 , 35
35 , 20 , 45
44 , 19 , 37
44 , 16 , 40
48 , 14 , 38
42 , 20 , 38
42 , 24 , 34
43 , 15 , 42
41 , 20 , 39
46 , 13 , 41
40 , 22 , 38
47 , 16 , 37
47 , 17 , 36
46 , 16 , 38
38 , 26 , 36
38 , 15 , 47
41 , 13 , 46
43 , 16 , 41
37 , 21 , 42
48 , 11 , 41
46 , 14 , 40
44 , 15 , 41
43 , 17 , 40
47 , 16 , 37
41 , 19 , 40
48 , 15 , 37
49 , 12 , 39
44 , 12 , 44
43 , 16 , 41
43 , 17 , 40
47 , 15 , 38
41 , 21 , 38
44 , 17 , 39
50 , 16 , 34
41 , 15 , 44
38 , 21 , 41
44 , 19 , 37
49 , 12 , 39
46 , 17 , 37
44 , 21 , 35
45 , 16 , 39
45 , 13 , 42
39 , 26 , 35
44 , 19 , 37
41 , 20 , 39
36 , 20 , 44
39 , 21 , 40
49 , 9 , 42
45 , 17 , 38
43 , 18 , 39
55 , 7 , 38
45 , 19 , 36
50 , 15 , 35
46 , 17 , 37
43 , 19 , 38
50 , 13 , 37
44 , 15 , 41
35 , 26 , 39
40 , 16 , 44
49 , 13 , 38
44 , 13 , 43
45 , 15 , 40
41 , 18 , 41
43 , 16 , 41
37 , 20 , 43
49 , 16 , 35
44 , 19 , 37
46 , 15 , 39
48 , 14 , 38
44 , 14 , 42
41 , 19 , 40
46 , 18 , 36
43 , 16 , 41
42 , 17 , 41
45 , 23 , 32
44 , 14 , 42
47 , 13 , 40
41 , 17 , 42
46 , 15 , 39
46 , 11 , 43
47 , 14 , 39
41 , 17 , 42
48 , 13 , 39
47 , 16 , 37
45 , 18 , 37
44 , 15 , 41
41 , 18 , 41
48 , 15 , 37
42 , 18 , 40
41 , 17 , 42
47 , 13 , 40
48 , 14 , 38
45 , 17 , 38
45 , 13 , 42
48 , 13 , 39
46 , 16 , 38
46 , 14 , 40
48 , 17 , 35
47 , 15 , 38
48 , 15 , 37
40 , 16 , 44
46 , 18 , 36
45 , 16 , 39
45 , 18 , 37
42 , 20 , 38
44 , 20 , 36
44 , 16 , 40
43 , 17 , 40
39 , 26 , 35
40 , 18 , 42
50 , 11 , 39
45 , 16 , 39
47 , 12 , 41
44 , 19 , 37
45 , 17 , 38
51 , 16 , 33
45 , 16 , 39
43 , 16 , 41
44 , 19 , 37
46 , 14 , 40
37 , 20 , 43
43 , 20 , 37
46 , 11 , 43
44 , 13 , 43
42 , 24 , 34
44 , 19 , 37
47 , 16 , 37
42 , 21 , 37
46 , 19 , 35
48 , 13 , 39
44 , 14 , 42
43 , 15 , 42
42 , 20 , 38
44 , 20 , 36
45 , 13 , 42
43 , 19 , 38
47 , 13 , 40
50 , 9 , 41
46 , 15 , 39
40 , 16 , 44
43 , 21 , 36
44 , 14 , 42
46 , 20 , 34
46 , 17 , 37
49 , 15 , 36
49 , 14 , 37
43 , 13 , 44
46 , 12 , 42
46 , 20 , 34
47 , 19 , 34
44 , 17 , 39
41 , 17 , 42
46 , 18 , 36
50 , 15 , 35
46 , 13 , 41
45 , 18 , 37
39 , 25 , 36
46 , 17 , 37
43 , 16 , 41
49 , 14 , 37
44 , 17 , 39
42 , 18 , 40
50 , 15 , 35
46 , 13 , 41
41 , 20 , 39
47 , 15 , 38
43 , 18 , 39
47 , 15 , 38
45 , 15 , 40
41 , 19 , 40
47 , 17 , 36
50 , 13 , 37
49 , 16 , 35
47 , 16 , 37
43 , 17 , 40
45 , 18 , 37
48 , 14 , 38
42 , 20 , 38
44 , 11 , 45
50 , 11 , 39
46 , 15 , 39
41 , 18 , 41
47 , 11 , 42
45 , 15 , 40
44 , 14 , 42
53 , 9 , 38
47 , 18 , 35
45 , 16 , 39
48 , 17 , 35
47 , 13 , 40
50 , 13 , 37
45 , 16 , 39
47 , 15 , 38
48 , 13 , 39
44 , 16 , 40
49 , 15 , 36
43 , 16 , 41
40 , 18 , 42
44 , 14 , 42
44 , 18 , 38
46 , 15 , 39
45 , 15 , 40
47 , 19 , 34
43 , 18 , 39
47 , 14 , 39
40 , 23 , 37
45 , 18 , 37
43 , 15 , 42
41 , 23 , 36
47 , 17 , 36
42 , 23 , 35
46 , 13 , 41
47 , 14 , 39
49 , 12 , 39
51 , 13 , 36
41 , 22 , 37
51 , 9 , 40
41 , 22 , 37
48 , 14 , 38
51 , 11 , 38
45 , 16 , 39
42 , 15 , 43
47 , 19 , 34
42 , 19 , 39
42 , 17 , 41
38 , 20 , 42
51 , 12 , 37
44 , 15 , 41
48 , 14 , 38
52 , 12 , 36
44 , 17 , 39
43 , 17 , 40
46 , 20 , 34
48 , 13 , 39
46 , 16 , 38
44 , 15 , 41
44 , 18 , 38
45 , 19 , 36
41 , 22 , 37
39 , 24 , 37
45 , 12 , 43
46 , 12 , 42
48 , 17 , 35
45 , 15 , 40
47 , 15 , 38
46 , 15 , 39
44 , 15 , 41
42 , 18 , 40
48 , 14 , 38
41 , 20 , 39
42 , 21 , 37
42 , 19 , 39
42 , 21 , 37
50 , 11 , 39
43 , 15 , 42
47 , 16 , 37
47 , 15 , 38
44 , 18 , 38
48 , 12 , 40
43 , 17 , 40
46 , 19 , 35
47 , 19 , 34
42 , 18 , 40
43 , 17 , 40
39 , 19 , 42
46 , 18 , 36
49 , 15 , 36
43 , 20 , 37
37 , 22 , 41
41 , 19 , 40
41 , 18 , 41
47 , 16 , 37
41 , 19 , 40
43 , 16 , 41
41 , 21 , 38
46 , 15 , 39
40 , 19 , 41
48 , 13 , 39
45 , 16 , 39
42 , 18 , 40
49 , 12 , 39
38 , 25 , 37
40 , 18 , 42
40 , 21 , 39
43 , 21 , 36
48 , 14 , 38
45 , 15 , 40
48 , 12 , 40
51 , 7 , 42
45 , 20 , 35
44 , 18 , 38
47 , 15 , 38
47 , 13 , 40
39 , 24 , 37
47 , 15 , 38
47 , 16 , 37
44 , 17 , 39
45 , 16 , 39
44 , 12 , 44
45 , 16 , 39
50 , 13 , 37
44 , 15 , 41
50 , 9 , 41
46 , 16 , 38
46 , 20 , 34
48 , 13 , 39
43 , 21 , 36
43 , 21 , 36
44 , 18 , 38
47 , 14 , 39
40 , 22 , 38
46 , 20 , 34
37 , 21 , 42
42 , 18 , 40
49 , 15 , 36
48 , 13 , 39
44 , 20 , 36
48 , 14 , 38
44 , 20 , 36
46 , 16 , 38
48 , 13 , 39
44 , 19 , 37
41 , 19 , 40
46 , 18 , 36
48 , 18 , 34
51 , 11 , 38
