Bus , Train , Car
44 , 13 , 43
39 , 23 , 38
40 , 22 , 38
47 , 15 , 38
51 , 12 , 37
45 , 17 , 38
45 , 18 , 37
44 , 17 , 39
46 , 13 , 41
42 , 18 , 40
49 , 17 , 34
42 , 15 , 43
43 , 13 , 44
40 , 18 , 42
46 , 14 , 40
49 , 13 , 38
43 , 19 , 38
46 , 16 , 38
37 , 23 , 40
46 , 15 , 39
44 , 18 , 38
44 , 19 , 37
44 , 20 , 36
39 , 23 , 38
47 , 14 , 39
39 , 23 , 38
50 , 13 , 37
43 , 16 , 41
47 , 19 , 34
47 , 18 , 35
47 , 11 , 42
46 , 17 , 37
52 , 13 , 35
46 , 15 , 39
46 , 16 , 38
43 , 17 , 40
48 , 14 , 38
45 , 12 , 43
47 , 11 , 42
47 , 16 , 37
48 , 15 , 37
46 , 18 , 36
41 , 25 , 34
43 , 20 , 37
40 , 19 , 41
39 , 23 , 38
43 , 21 , 36
44 , 19 , 37
41 , 23 , 36
45 , 12 , 43
43 , 20 , 37
45 , 15 , 40
45 , 21 , 34
44 , 16 , 40
49 , 12 , 39
46 , 17 , 37
48 , 17 , 35
45 , 17 , 38
43 , 18 , 39
46 , 15 , 39
48 , 14 , 38
38 , 25 , 37
41 , 20 , 39
44 , 21 , 35
42 , 20 , 38
44 , 15 , 41
51 , 14 , 35
41 , 19 , 40
45 , 16 , 39
41 , 21 , 38
34 , 19 , 47
41 , 18 , 41
43 , 21 , 36
43 , 17 , 40
46 , 16 , 38
52 , 12 , 36
38 , 23 , 39
43 , 17 , 40
45 , 14 , 41
44 , 13 , 43
43 , 16 , 41
45 , 20 , 35
46 , 18 , 36
39 , 19 , 42
45 , 19 , 36
44 , 18 , 38
43 , 15 , 42
42 , 20 , 38
44 , 16 , 40
49 , 13 , 38
44 , 16 , 40
43 , 19 , 38
49 , 15 , 36
51 , 12 , 37
41 , 19 , 40
37 , 23 , 40
49 , 18 , 33
48 , 11 , 41
42 , 16 , 42
42 , 14 , 44
48 , 13 , 39
41 , 15 , 44
42 , 16 , 42
48 , 18 , 34
45 , 17 , 38
44 , 14 , 42
46 , 14 , 40
41 , 19 , 40
44 , 18 , 38
