455,0.31
555,0.34
490,0.3
525,0.33
510,0.3
545,0.32
500,0.26
565,0.36
500,0.35
535,0.25
475,0.35
415,0.38
460,0.32
535,0.35
505,0.33
475,0.29
515,0.29
510,0.33
465,0.37
490,0.28
470,0.28
470,0.33
505,0.36
520,0.36
485,0.3
465,0.36
500,0.37
500,0.31
495,0.32
485,0.24
525,0.34
515,0.34
560,0.27
540,0.33
